,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.11038673541089,0.219267420585223,0.000461157691664994,9.3232027022168e-05,1.40654002316296e-05,0.123445669782583,6.69527873396873e-05,0.000882157849147916,0.000563797755399719,0.245517473939442,0.000221397753804922,0.0535486873190336,0.000531511727254838,0.000354513093596324,0.024671491754367,0.0403133118215646,0.0365702057688944,0.332814897380888,0.0265917692033182,0.151017650179863,0.000245215559843928,0.314302567285094,0.00077835659775883,0.128029692203619,0.046708423870331,0.000689975335029885,0.0796355245995986,0.27059375620374,0.360459313663979,0.000126202065031976,0.000756064390297979,0.0153352178545888,0.172899478290473,0.0900300844568015,0.0715621936902969,0.107086517993589,0.000807378794532269,0.000606323641259223,0.231200164428595,0.000220400216989219,0.21048203927331,0.000180204744916409,0.0475871697198543,0.177419942826161,0.41425055967121,0.00771560321487751,0.00026270365412347,0.103551491891925,0.17155721256721
KEGG_OXIDATIVE_PHOSPHORYLATION,0.00052771377377212,0.000132804549299181,0.258186916288075,0.000655574723146856,0.0692710107793735,0.00811618410533246,0.000167780123883858,0.112227253607044,0.000790505379904062,0.000942194077651948,0.017166704297615,0.0805814106527208,0.0299970173282991,0.205317103391029,0.14858152059708,0.000735667929286137,0.000876290637999773,0.00080420382716693,0.000708189483731985,0.10073922460771,0.229193384508358,0.206145904788655,0.0601354143847666,0.000535235030343756,0.228006201372429,0.204046699026406,0.000126857351278886,0.109972899050071,0.033277363396797,0.354872772109312,0.000826294303871691,0.00394185049693034,0.00390824893298589,0.00025290665589273,0.0445178566440875,0.15795143413466,0.193988318530134,0.203585925046041,0.000271024595946074,0.279634019991561,0.207575793240511,0.0900982457184867,0.18944690097138,0.000519239929504693,3.53562785312533e-05,0.302310036330472,0.0827480920097614,0.000883460197830573,0.319008251389675
KEGG_PURINE_METABOLISM,0.000603196631884202,0.000354758167406544,0.102463677984307,0.000416406372794881,8.61467414069921e-05,0.0148598571420218,0.4033707049208,0.00025465081515722,0.305670875100596,0.000724663756787777,1.29974593874067e-05,0.12426335307026,0.468867069210036,0.470855363953269,0.500365670205216,0.000703837484586984,0.501457915761834,0.000849899681285024,0.000918474114965648,0.00019552170394267,0.000621770783560351,0.000164597545051947,0.287123779718434,0.0002020183512941,0.000229471391066909,0.0697335703079309,0.162432694859383,0.000360318920342252,0.000782989344326779,0.547948528897812,0.000111336052417755,0.000785557601833716,0.0859650087790714,0.195863984597551,0.047390685075719,0.000466042875545099,0.0675617542121327,0.104726281714672,0.000777667206712067,0.393160816201704,0.0413493319431642,0.0839401868128487,0.152914540966708,0.000442905996693298,0.221035113198497,0.0802964398563907,0.000127468343824148,0.000336560302646831,0.152654640412261
KEGG_PYRIMIDINE_METABOLISM,0.160844424306499,0.000636130288708955,0.157175706887593,6.55214490834624e-05,0.00073629773594439,0.142718354302981,0.111263939213513,3.78169973846525e-05,0.100650423748265,0.000910772682633251,0.000770855169044808,0.000837878720602021,0.000360592939658091,0.382832740058943,0.0493355173089638,0.332311613408861,0.149511779606141,0.0601118562503843,0.000721410418394953,0.0138949757683718,0.000537382237613201,0.120404336429526,0.110033570161066,0.000468809382757172,0.00354091973195797,0.000626888325670734,0.000282603161176667,0.00980970833337656,0.000681083278497681,0.541136893909875,0.000236445475835353,0.000729070900939405,0.000653982352931052,0.128647585170318,0.000500724986195564,0.176382025156145,0.0210443506121774,0.114131625142213,0.000185470102820545,0.265416973509974,0.00268925481157882,0.443456357131202,0.00096003482490778,0.000297723637428135,0.000167764787795022,0.179243793833753,0.000499874850269407,0.000271442525321618,0.0297163077870533
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.000365160659421235,6.36026384308934e-05,5.2545317215845e-05,0.185919912356375,0.40831677393953,0.130081900248453,0.000742275144439191,0.00068585960729979,0.0281209375851276,0.000496755618136376,0.0495089561938738,8.85333819314837e-05,0.360183731327083,0.000350344143109396,0.000921130532864481,0.000639949528267607,0.195919074936257,0.000681879894807935,0.000938221636461094,0.000997398279840127,0.000927016045432538,0.159169268851447,0.00909031499907256,1.39748747460544e-06,0.000900100909871981,0.0004042627310846,0.000363656262634322,3.51120957639068e-05,0.000750201891874895,0.193320991987416,0.000111439232248813,0.0161742419469334,0.181405253826089,0.000521957676624879,0.043904877739673,0.00084193767956458,0.0903961773435557,0.0324497328850838,0.000157283862819895,0.000341539993183687,6.58889522310346e-05,0.113194555895192,0.000773655193159357,0.0247115707717401,0.337207832553152,0.316641604687597,0.000747328562662005,0.000881694588577375,0.0235857145873383
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.000725711109815165,0.252730742429939,0.417136829565348,6.27981300931424e-05,0.000809248820645735,0.153801141257088,0.209693749830619,0.189369512633065,0.000561964674387127,0.000306654450949281,0.000430416516959667,0.000728133188560605,0.000667537576984614,0.0911938064361358,0.000803124587750062,0.00021625585318543,0.0209309764507153,0.000585951795103028,0.000874974415404722,0.121921468349746,0.156926836730438,0.00445149281839345,0.0701871446487828,0.259546395749996,0.101407799215205,0.1352725173096,0.061800923149692,0.098666107335422,0.189920054911306,1.70120468828827e-05,0.000391664521070197,0.279435358427754,0.266151230999221,0.000650924099376425,0.117430595530407,0.132902918793502,0.0681118838698519,0.000157426753779873,0.350757799589595,0.201895058620152,0.0472571734501795,0.276464502951059,0.000820931479800493,0.170384532548714,0.16745880399394,0.00051337675889954,0.000756137293297797,0.0767928600142639,0.0405496919734201
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.000603391256183386,0.00094032163079828,0.000275497277732939,0.000121144991368055,0.00640111133485526,0.0188500714852952,0.000748894452815875,0.000918250685557723,0.356208037074296,0.0875989820034218,0.435054054897229,0.283030036379172,0.0464733218963714,0.119320828408614,0.00058652206370607,0.107969595267433,0.0639439690950909,0.0122529550162458,0.053022580402249,0.0452862784574027,0.000638841251609847,0.25968720938501,0.000704158425331116,0.000682525145821273,4.17865114286542e-05,0.000829332599183545,0.000131308893207461,0.127205798913691,0.00581316175723576,0.0978511276512759,0.000188524640863761,0.000821777959819883,0.00035032320022583,0.000572126676794142,0.237474838340454,0.000141585631528869,9.06543179880828e-05,0.191276725151438,0.296393801359714,0.000902920982800424,0.12608520710287,0.330046422414668,0.000625872042030096,0.000193874582415447,0.299405320861266,0.000288398484466597,0.000770722952205688,0.000626494238385931,0.00558369602105025
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.000103189571993425,0.000716217218432576,0.0639275114109016,0.1709506450362,0.0433408472567869,0.000579764395253733,0.0818238699051681,0.0973015216778848,0.0665329379594673,0.235568449345958,0.0150438269457236,0.240118731119922,0.0130682638161812,0.0484550919231596,0.000328927274094895,0.000387549337465316,0.0158934885997143,0.1149791344072,0.00023201378644444,0.000157398024573922,0.261541324132544,0.111817369959329,0.00166808748174251,0.000583280446473509,0.00078950303979218,0.000199082776904106,0.000487079492071643,0.141821036259736,0.115756439936735,0.0507537627422339,0.000161471542902291,0.000736332239815965,0.310628557697591,0.000384274495299906,0.289947598575711,0.000563528494210914,0.0114461950626853,0.000327010046225041,0.000605535648064688,0.000427043082425371,0.000475835434859619,0.23513698653698,0.0166785843041022,0.000806000941433012,0.173960712277531,0.0121684052366158,0.148803109484695,0.000258047614246607,0.189812608843464
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.0448192638043439,0.000705705549800769,0.000137759959790856,0.000577441541245207,0.0569897564658969,0.203385632420174,0.000919092023512349,0.000328714665491134,0.241791340315325,0.000539910034509376,0.000467038842849433,0.000472769263898954,0.0350050443910353,0.0796262789518553,0.0842482690875073,0.0591837751842658,0.247236559448195,0.114330817455471,0.0871334883072739,0.236608529625123,0.202092324259854,0.000508841140428558,0.110963612300229,0.00069360384112224,7.20297812949866e-05,0.000990622700424865,0.000952137320069596,0.000622094304766506,0.000985363300424069,0.338474018258095,0.000849357218714431,5.78643912449479e-05,4.14243778213859e-05,0.152500061865398,0.163025565504968,0.0798100267019382,0.184269936861713,0.195792395753711,0.000476667076116428,5.75417480431497e-05,0.263172697351679,0.100265018645059,0.191722624205981,0.000443635300267488,0.0615458450167575,0.102895014507474,0.000696976647013798,0.000935636355541646,1.42383063212037e-06
KEGG_LYSINE_DEGRADATION,0.000736858075251803,0.000932033114368096,0.000692071706289426,0.209325309682825,0.283153202745815,0.0270464018221327,0.000982300604926422,0.161534624350914,0.000691842301515862,0.11239355785021,0.040554371013326,0.000809745620703325,0.166137476036231,0.000636715040775016,0.133545955392318,8.15881437156349e-05,0.000190653796307743,0.032878768388186,0.000928554514190182,0.000187521381303668,0.213612343655098,0.0879878555742872,0.000871279386570677,0.0617441536567124,8.41596790123731e-05,0.000972121577244252,0.130019489656549,0.135860088835568,0.37377520125435,0.259931958751503,0.174425109360434,0.152242059026955,0.276044077628718,0.0552295838608936,0.119565613924311,0.000595097818877548,0.000646183015080169,0.00077396126370877,0.00872038883915982,0.000196826025377959,0.220785107221047,0.0371799224616452,0.000997075917199254,0.000928300485946238,0.0659700924182144,0.0673399000496798,0.263872950375468,0.29023469651702,0.258162335019593
