,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.0827197357221488,0.517043763319348,0.00293076806825855,0.00283262682648111,0.00050705265734381,0.141352957256451,0.000902580504248302,0.0020883292101856,0.00120120497534779,0.00154401508321539,0.144387522170274,0.00347018306035286,0.464517138279916,0.00163489634378527,0.305756797077942,0.00354781109140907,0.218866281706218,0.385811001168703,0.000998250016501946,0.00113577643866751,7.86452410891518e-05,0.406960603644166,0.0682722627030855,0.325558414294761,0.0022526978489025,0.00127991649923655,0.0029657528165491,0.0249485570325666,0.300829584401952,0.000355740817137352,0.00287915515316033,0.00331006846782441,0.170104408158508,0.167106991310601,0.00330746542125656,0.356987028350688,0.00384913244165813,0.00231247988245687,0.0583378147537197,0.00167972848649462,0.0582109259979619,0.00624000989061899,0.181656110353086,0.09908069985918,0.224929823480356,0.00340091955451441,0.00204563510464376,0.310307682791318,0.00150425487004023
KEGG_OXIDATIVE_PHOSPHORYLATION,0.00273535666650998,0.0022769244990385,0.456340033614109,0.00127737865283101,0.49363972229454,0.165540713696245,0.00277683361800596,0.00126770817784442,0.0842075607053763,0.00363618367653073,0.00161569430878239,0.262644662038542,0.211351448256212,0.222264634525826,0.0714468637473688,0.00190523372895971,0.155013782369179,1.61145360554239e-05,0.000571756211710011,0.153928040974616,0.0281026486017249,0.000466933768659211,0.10810903293954,0.0034416944027513,0.356668415664988,0.0554360286993216,0.00145357951605402,0.359358220413738,0.013334983229232,0.470633729394724,0.00243310596669322,0.000750194896406591,0.245679539152866,0.239164137723122,0.00957924104226498,0.07211990954812,0.225386179925537,0.00303113329451517,0.00153568422542198,0.164947730418337,0.188509452374043,0.186940702361169,0.138478885972882,0.00266084737516083,0.000286579726191129,0.294051570777333,0.000418413626657573,0.00365973092727558,0.0652922198903131
KEGG_PURINE_METABOLISM,0.0576915734345632,0.00239154074132769,0.0155190740787083,4.11419104776509e-05,0.00317504720068204,0.0479201954133221,0.0104795159930305,0.00105799545265211,0.140396018209335,0.00184377643469877,0.000932115201735223,0.00209126773156823,0.389663793271109,0.290011165160004,0.440808188015848,0.000554179981837859,0.258348970909686,0.660801054634142,0.0495364177998302,0.00194770565563992,0.00312084306460376,0.000844057754902545,0.482507453285209,0.00121991905979201,0.0029862536427525,0.271360255642914,0.00329424047471517,0.00355731436567234,0.00212366615670016,0.0703743521491382,0.0039701857097276,0.00166095701115107,0.502827980280754,0.0357214243760132,0.101395886312878,0.00096022779025823,0.00272273186808554,0.26798765891879,0.00294831121095545,0.144853692807737,0.400932870071357,0.478118376071836,0.270348096821399,0.000833723918943499,0.271722070422395,0.0105847421032797,0.00395245608553832,0.00352967468572346,0.0963214728322044
KEGG_PYRIMIDINE_METABOLISM,0.0828694805408878,0.00320426250811864,0.00726450348149879,0.000721833921413448,0.00839804298797333,0.274790830521143,0.0190560435394638,0.000690349208784943,0.00206949184134695,0.103760912899322,0.00172051338434922,0.00323359907185858,0.388241634058698,0.177657979923959,0.176735559135261,0.346987989116591,0.556112266497825,0.153527983390679,0.248973979784222,0.00118217460880088,0.000571540925391938,0.0012255437831847,0.0445904928789908,0.000659549182673518,0.000870399488997826,0.0608793875965501,0.00120352061693805,0.00286760401299511,0.00136592717300063,0.709161285670303,0.000838191048171902,0.00260195733091852,0.0280319397568864,0.203910018279081,0.00124206351849172,0.0330183898172823,0.00146994734659708,0.0837443839198049,0.00304135523879804,0.22530281972291,0.120942519548848,0.179727185904344,0.117703699921557,0.00350511760875443,0.189142986137517,0.198276749393083,0.00164401934540825,0.00172666518711097,0.447345079832914
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.00240803194339525,0.00350916473867166,0.00376749561698235,0.387492536485643,0.394596125447723,0.0834927347070299,0.00346133615533853,0.00349886032764477,0.247690441266077,0.00312010208094762,0.148975274196395,0.0030180466001995,0.18042362614043,0.0017122560263194,0.00209725340697479,0.0012759319101611,0.0433824313231159,0.00246196129352338,0.00108090610896305,0.00144081623460189,0.00180262637292632,0.157799200036145,0.324377857204588,0.000131419414448586,0.00141375118385966,0.0033594174706319,0.00334714532554696,0.000219391982703145,0.000631634832638935,0.0578190503447685,0.000675916527512869,0.00282748565728691,0.197666863346028,0.127594593879343,0.00283412301175004,0.194662642457736,2.45140337945286e-05,0.0491288093300419,0.00313775414455657,0.00156717574439091,0.342207099141943,0.148943439259541,1.15780160797854e-05,0.0025982102593022,0.0650839242218759,0.0742239452372359,0.00132070159452415,0.0101957418753158,0.00188734730125813
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.00278108035731962,0.305117976176202,0.0386959201320802,0.34490009958127,0.00052910038685089,0.165039545091604,0.050527514297723,0.285535667656593,0.00018303689089792,0.00224446785156405,0.0023030560995389,0.00259863589240572,0.042187722526357,0.0178888547202812,0.00298499089744146,0.00261412369826184,0.00201803213054819,0.00297951259888835,0.00218399296165949,0.306095708319331,0.0950002071049162,0.108901276069973,0.150865992329105,0.13063501886306,0.0334384666650414,0.0708531467120367,0.00100037970123399,0.221985730046581,0.032369375388979,0.202285485824113,0.00365393610932942,0.10114554368614,0.42422093844878,0.0028728483793982,0.375453397017386,0.624879523635757,0.132125350998062,0.00390143814636862,0.439802106559309,0.377205657920275,0.199731316758921,0.513453092108512,0.00290798351694587,0.00118655966707818,0.232025550280353,0.00225099203057305,0.00236302656574275,0.126611053758913,0.00213185551620981
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.00173932653659384,0.00200957782336938,0.00161186195630663,0.00169983518452502,0.151477678234511,0.121509418093301,0.00276267332382675,0.0033893892541901,0.241916180641364,0.000497119246094674,0.170490977047126,0.207569210939296,0.472662986260039,0.0629751018347418,0.00132950485757658,0.00275336239843089,0.465299994829309,0.346031129961113,0.000989438263830562,0.00299780889193408,0.00154923538040402,0.38882655925165,0.00234806753829177,0.00205221698414187,0.00347238006324911,0.0025458625820046,0.00260234428754639,0.0145417116956564,0.0614598014133028,0.493910577037441,0.000339315425142503,0.00165536305857181,0.00359354084424599,0.00280713160258948,0.186656804565451,0.102553408041339,0.00144711615567781,0.33635265643625,0.00548221899242944,0.243636165696446,0.191748527220766,0.0605596501045752,0.00291140018397513,0.00156803296510303,0.134627898687006,0.0441711135796921,0.00274976424042224,0.0035641970959841,0.0607633211527879
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.00381413179120548,0.00393184581100797,0.00198434313595611,0.116408414457946,0.132593720448228,0.0388910923379328,0.525940338402643,0.0999103029162452,0.0105499354730367,0.306872041992106,0.233504297857721,0.152996888349701,0.20751312899772,0.348317793637404,0.00200052844849742,0.00176118826475077,0.0462180463160813,0.614524511603027,0.000785032126097284,0.00265713788718679,0.0414337753875288,0.133559752279704,0.110806516676246,0.00165078893641559,0.00215024960162023,0.000104575697221077,0.00202156805915866,0.22332881487574,0.217476661144666,0.0313236910125828,7.21952505419442e-05,0.00229845521362489,0.245877309055657,0.000228872396449744,0.0241545094821768,0.00192195674332157,0.00273356189951651,0.100470681135498,0.0022624238998879,0.00327675342801666,0.00097825106255095,0.364637643187531,0.289478270800121,0.000250982105087819,0.101995339219354,0.039418698414305,0.000944878523044719,0.000542678956285392,0.110699975353683
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.0789029972553101,0.003700132195202,0.00057770656700192,0.00231039919818516,0.00116540370720418,0.0469741305878113,0.00252044473701788,0.00112847778005739,0.147550569191141,0.00207143950305011,0.00375639017949478,0.00230525601202287,0.254346080355443,0.212095944840943,4.42594248024285e-05,0.00137326362751667,0.0496434520141802,0.556392013624884,0.0036899185143707,0.0821963701320726,0.252403798401577,0.000494645863880561,0.207969102879072,0.00284328063830106,0.00139584952786354,0.000767111127228761,0.00108713451387453,0.000732034697727329,0.00229947018052235,0.112899786072311,0.00272811962831457,0.0032476561929287,0.000685285092221406,0.151734110578228,0.352056210244806,0.202180574572466,0.0145337261806568,0.254356316747906,0.00227279988547492,0.00154567662742658,0.516710476636119,0.140449988152349,0.234853572833686,0.000493143441397307,0.192844836919385,0.0637546261100707,0.00397295184522167,0.00187611571057269,0.0002952341775966
KEGG_LYSINE_DEGRADATION,0.00185136098926807,0.00214102058311144,0.00343092257141688,0.0194340354434171,0.0302551694447804,0.194175685424575,0.00102196196529831,0.000290279234066112,0.0380838978435295,0.110589898822778,0.162005586544932,0.00336509063740873,0.281852403371004,0.000188559131733557,0.00304368050918639,0.0011204650554169,0.00310643502723376,0.226189152281598,0.000159129085785937,0.00313378578391748,0.188886695364878,0.00284457558743689,0.00188348544691623,0.100471716177333,0.00234868852161505,0.000776417308671149,0.268642050292107,0.207521161697294,0.399679801972309,0.17871075848166,0.307037941385289,0.00379363046817537,0.185932892716403,0.25468751870303,0.175091075810907,0.00344216793699338,0.00392933125242715,0.00269854354034346,0.00041355909402803,0.144738648552566,0.108258399664814,0.0463788853819456,0.00155961272021456,0.0276544622827901,0.144531175320226,0.0391412732540443,0.0527615758050754,0.154165395532987,0.0323480232511455
